fputc_unlocked,1
fwrite_unlocked,1
tcgetpgrp,1
fflush_unlocked,1
sigprocmask,1
raise,1
readlink,1
realloc,1
__memcpy_chk,1
calloc,1
localeconv,1
__sprintf_chk,1
memmove,1
_setjmp,1
__assert_fail,1
getpwuid,1
strcpy,1
getgrgid,1
cap_get_file,1
cap_to_text,1
cap_free,1
lgetfilecon,1
stpncpy,1
getxattr,1
_obstack_begin,1
_obstack_begin_1,1
_obstack_newchunk,1
_obstack_allocated_p,1
_obstack_free,1
_obstack_memory_used,1
unsetenv,1
tzset,1
localtime_r,1
gmtime_r,1
memset,1
clock_gettime,1
opendir,1
dirfd,1
closedir,1
readdir,1
fnmatch,1
program_invocation_name,1
__progname_full,1
bindtextdomain,1
isatty,1
ioctl,1
getopt_long,1
optind,1
optarg,1
program_invocation_short_name,1
__progname,1
gethostname,1
fwrite,1
getcwd,1
lstat,1
mbsinit,1
mbrtowc,1
iswcntrl,1
memcmp,1
strtoumax,1
__ctype_toupper_loc,1
strftime,1
mktime,1
__ctype_tolower_loc,1
timegm,1
libselinux.so.1,1
libcap.so.2,1
libc.so.6,1
LIBSELINUX_1.0,1
GLIBC_2.28,1
GLIBC_2.14,1
GLIBC_2.33,1
GLIBC_2.4,1
GLIBC_2.17,1
GLIBC_2.3.4,1
GLIBC_2.2.5,1
GLIBC_2.3,1
AWAVAUATUSH,0
D$h1,0
D$Rf,0
D$PH,0
l$HL,0
D+l$,0
Lcd$,0
T$PH,0
D$HH,0
T$hdH+,0
x[]A\A]A^A_,0
D$(H,0
T$0L,0
D$8H,0
L$0I,0
L$(H,0
D$PH,0
G(H9G0,0
SUUUUUUUI9,0
$v7L,0
D$HH,0
D$e??,0
D$PL,0
d$HA,0
D$eA,0
D$fI,0
D$HA,0
D$PH,0
d$HL,0
D$PI,0
D$HH,0
D$PH,0
l$eI),0
u+UH,0
Hw`E,0
]A\A],0
<.tN<Z,0
ATUSH,0
[]A\,0
AUATI,0
vBL9,0
[]A\A],0
AUATUSH,0
G(H;G0s,0
[]A\A],0
[]A\A],0
t]~K,0
t=~+,0
U0H;E,0
tqL9,0
UH]A\A]A^,0
[]A\A]A^,0
UH]A\A]A^,0
AWAVAUI,0
U0I;E,0
[]A\A]A^A_,0
[]A\A]A^A_,0
T$ H,0
T$(H,0
t$HH,0
T$0H,0
t$xH,0
T$@H,0
t$hH,0
T$pH,0
T$`H,0
|$XH,0
AVAUATUSH,0
|$pH,0
|$`H,0
D$HH,0
D$PH,0
D$8L,0
t$HM,0
t$(H,0
T$(M,0
H9\$,0
L$(M,0
D$ H9,0
\$ L9l$8,0
H9\$,0
D$ H,0
L$(I,0
L$(H,0
D$@H,0
T$@H,0
T$(L,0
L$XH,0
t$@H,0
d$@I,0
T$(L,0
T$(H,0
T$(I,0
[]A\A]A^A_,0
H9\$,0
T$(L,0
d$@H,0
t$@H,0
T$(Hc,0
D$HE1,0
\$HIi,0
D$`N,0
[]A\A]A^A_,0
AWAVAUATUSH,0
[]A\A]A^A_,0
pHH9wH|,0
"GHH9FH|""u",0
slash,1
file-type,1
classify,1
force,1
never,1
auto,1
if-tty,1
verbose,1
long,1
commas,1
horizontal,1
across,1
vertical,1
single-column,1
atime,1
ctime,1
status,1
birth,1
creation,1
extension,1
directory,1
dired,1
full-time,1
group-directories-first,1
inode,1
kibibytes,1
numeric-uid-gid,1
no-group,1
hide-control-chars,1
reverse,1
almost-all,1
ignore-backups,1
dereference-command-line,1
hide,1
ignore,1
dereference,1
literal,1
quote-name,1
recursive,1
show-control-chars,1
tabsize,1
time-style,1
block-size,1
context,1
author,1
help,1
shell,1
shell-always,1
shell-escape,1
shell-escape-always,1
@{R;,0
[;}u,0
X|@F,0
<rQzO,0
/+Tk?,0
iHbW,0
{WeKY\,0
G<dEv,0
Y@Se4MQ,0
N6)c,0
w6hw,0
"y4J""YY",0
1aIH,0
EuDe,0
u;ye,0
.40b,0
wpUvO9,0
VFc&,0
9*nq;,0
hR&O,0
`hA?8Q,0
(wg\,0
5oN`I;,0
JePy,0
@v0}.,0
.66><,0
88<L|<8,0
nt|~??=,0
SENRCOM,1
88<L|<8,0
><<88,0
2666><,0
88<L|<8,0
<~f$,0
bfn|x:>>,0
|l4<<<,0
08<,0
bubble,1
222>>,0
>>222,0
222222>>>,0
bbbbbbbbbbb888,0
<<<<<,0
@@@@,0
xp``,0
ppx8888<DB?,0
@@@@@@@@@@@@@@,0
BBBB,0
BBBBBBBBBB,0
<<<<,0
@@BBDDDBB@@@,0
~$<Y,0
u`xRP(<,0
8pXr8,0
PX`hpx,0
<fffff<,0
~``<,0
|``~,0
<ff|`b<,0
<ff<ff<,0
>ff<,0
jJJJj,0
HXxhH,0
<BZRZB<,0
aa1;,0
88<L|<8,0
:#3#:,0
JJLJJ,0
0L X,0
0DP?,0
038f,0
WUUUUUUUU,0
ddddddddddddddda,0
Print,1
--sort,1
ukelele,1
numbing,1
attent,1
ldr,1
lda,1
nop,1
Mac-os,1
alaska,1
sourdough,1
Old-good,1
volkswagen,1
whehhj,0
ccwwddcc,0
yes,1
wdguywg,0
Richard,1
drahcir,1
jkl;;jjeejs;d;e,0
Oe-od-ne,0
nnrhsh,0
finish,1
